"Название анализа",Стоимость,"Группа анализов"
"Общий анализ крови",50,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Биохимия крови",210,"Анализы крови"
"Биохимия крови",210,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Биохимия крови",210,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Биохимия крови",210,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Биохимия крови",210,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
"Биохимия крови",210,"Анализы крови"
"Анализ крови на глюкозу",130,"Анализы крови"
"Общий анализ крови",50,"Анализы крови"
